name	archived	forks	watchers	license	html_url	homepage
Monocraft	0	138	9704	ofl-1.1	https://github.com/IdreesInc/Monocraft	https://idreesinc.com
方舟像素字体 / Ark Pixel Font	0	84	4046	mit	https://github.com/TakWolf/ark-pixel-font	http://ark-pixel-font.takwolf.com/
Cozette	0	53	3373	mit	https://github.com/the-moonwitch/Cozette	
Zpix (最像素)	0	72	2797		https://github.com/SolidZORO/zpix-pixel-font	https://zpix.vercel.app/
缝合像素字体 / Fusion Pixel Font	0	53	2452	mit	https://github.com/TakWolf/fusion-pixel-font	http://fusion-pixel-font.takwolf.com/
Departure Mono	0	22	2175	mit	https://github.com/rektdeckard/departure-mono	https://departuremono.com/
scientifica	0	32	2036	ofl-1.1	https://github.com/oppiliappan/scientifica	
A collection of monospaced bitmap fonts for X11	0	86	1744		https://github.com/Tecate/bitmap-fonts	
itmap fonts for humans	0	54	1411	other	https://github.com/robhagemans/hoard-of-bitfonts	
Spleen	0	33	1213	bsd-2-clause	https://github.com/fcambus/spleen	https://www.cambus.net/spleen-monospaced-bitmap-fonts/
Tamzen font	0	33	1011	other	https://github.com/sunaku/tamzen-font	
undefined medium	0	7	567	ofl-1.1	https://github.com/andirueckel/undefined-medium	https://undefined-medium.com
ChillBitmap 「寒蝉点阵体」	0	12	451	ofl-1.1	https://github.com/Warren2060/ChillBitmap	
Bits'N'Picas (Bitmap & Emoji Font Tools)	0	24	405		https://github.com/kreativekorp/bitsnpicas	
Neo둥근모	0	19	405	other	https://github.com/neodgm/neodgm	https://neodgm.dalgona.dev
Galmuri (Nintendo DS)	0	5	403	ofl-1.1	https://github.com/quiple/galmuri	https://galmuri.quiple.dev
Gohufont	0	23	353	other	https://github.com/hchargois/gohufont	http://font.gohu.org
cherry	0	8	336	0bsd	https://github.com/turquoise-hexagon/cherry	
creep2 (A copy of the 'creep')	0	6	281	mit	https://github.com/raymond-w-ko/creep2	
bitmap fonts for Playdate	0	7	198		https://github.com/idleberg/playdate-arcade-fonts	https://idleberg.github.io/playdate-arcade-fonts/
复古像素字体 / Retro Pixel Font	0	4	155	mit	https://github.com/TakWolf/retro-pixel-font	http://retro-pixel-font.takwolf.com/
greybeard	0	3	151	other	https://github.com/flowchartsman/greybeard	
PressStart2P	0	8	142	other	https://github.com/codeman38/PressStart2P	
p8-programming-fonts	0	3	118		https://github.com/juanitogan/p8-programming-fonts	
kirsch	0	3	116	ofl-1.1	https://github.com/molarmanful/kirsch	
eldur	0	0	114	ofl-1.1	https://github.com/molarmanful/eldur	
pcface	0	1	105	other	https://github.com/susam/pcface	https://susam.github.io/pcface/
MuzaiPixel 目哉像素	0	3	96	other	https://github.com/DWNfonts/MuzaiPixel	
hzk-pixel-font	0	4	80	other	https://github.com/TakWolf/hzk-pixel-font	http://hzk-pixel-font.takwolf.com/
neodgm-pro	0	2	80	other	https://github.com/neodgm/neodgm-pro	https://neodgm.dalgona.dev/neodgm_pro.html
MisekiBitmap 基於美咲ゴチック	0	2	76	ofl-1.1	https://github.com/ItMarki/MisekiBitmap	
mem	0	1	76	agpl-3.0	https://github.com/oidoid/mem	https://rndmem.com
Unixel	0	3	68	ofl-1.1	https://github.com/MDarvishi5124/Unixel	https://mdarvishi5124.github.io/Unixel/
ANAKRON	0	0	57	ofl-1.1	https://github.com/molarmanful/ANAKRON	
Matrix-Fonts	0	7	52	mit	https://github.com/trip5/Matrix-Fonts	
Doto	0	2	50	ofl-1.1	https://github.com/oliverlalan/Doto	
Tiny5	0	2	46	ofl-1.1	https://github.com/Gissio/font_Tiny5	
ZLabs-Bitmap	0	1	45	mit	https://github.com/Astro-2539/ZLabs-Bitmap	
Sweet16Font	0	0	43	bsl-1.0	https://github.com/kmar/Sweet16Font	
fonts	0	2	42		https://github.com/pixeldroid/fonts	
